,malignant_class1,malignant_class2,Tcell,Myeloid,Bcell,Endo,Fibroblast
CD163,234.13042978402964,9.982349333563262,9.477710973486461,1332.2669579414192,23.309544890308658,46.221684226414006,171.97605375575202
CD163L1,9.650994712445666,0.6880672855515608,0.7357050939823554,60.59230750787174,1.4063274844163909,5.164314285572337,7.9619955261106075
CD19,1.1829102666596678,0.273076814560073,0.06864428145602222,1.1091887801282487,36.16851392522053,0.33068065858214446,0.6980832737185632
CD2,81.77486478555366,6.519375095942827,667.4476842290992,2.877862065654477,30.776808941437906,6.150877373043613,15.886284568172108
CD209,56.81120296316712,4.4264115704116636,1.775496637387287,289.59439101779583,2.341231568549438,6.780827609257025,45.50335461223411
CD22,1.7584419799749063,2.6501592446331093,0.25297508798403545,1.9390720198288178,58.48759678029411,1.903785125476012,0.5960805911023381
CD300LG,20.074746391879174,3.3136234221838152,1.3086618540739616,2.8034976492322907,3.277838291420322,432.3632277243521,21.73835260148745
CD3D,65.63452863061757,4.969444872309029,791.5646805249254,1.1286961393632038,19.41757575049164,7.1441451931177635,19.49785887077052
CD3E,46.5201806110701,4.436567027484051,593.2253612318751,0.96934890792095,25.757966926010415,6.270635874971376,12.3568948532758
CD3G,33.482155540149726,2.9421501451653107,389.07972430453646,0.9997517405147837,21.151723000042534,9.307184924000813,13.748045744945976
CD40LG,7.652838757324083,0.8558446266957133,121.01056043540466,0.23046119966072692,4.98086080105755,0.3370843009136779,1.8999245633529238
CD5,4.437953872321577,0.5832326947287959,57.730018475315205,0.36963284310143935,4.153867195732438,0.8260656492126275,1.4656930036326412
CD6,8.388951909552338,1.3851936886221399,85.26647769454542,0.5515735392954078,8.629856457439887,3.2543671576982662,2.4122737277296835
CD79A,5.434667551833794,1.249805759745186,4.398256556413934,0.4471036747554425,543.609654225258,2.3098884630482135,3.4381490488602644
CD79B,12.786547411211448,3.5438684455883704,21.28054805717469,2.4151013462283353,132.34331222991722,15.854667158855541,3.3259064519425805
CD86,20.507663797468627,2.40213389164091,2.1661179090146847,123.98487980976445,21.490718315272993,10.817834652963725,15.697199324808274
CD8A,29.508126159225778,3.254050403894841,252.13352580359845,0.40329141624500375,8.405603744947866,2.8098698433628604,8.66990740719238
CD8B,14.581916284363242,2.576258222877817,187.64392315324633,0.18294018540677978,16.080821439248396,5.640996600352459,4.454422033247435
CDC14A,24.05044540715101,11.914668105325017,125.59244438120751,6.969796510538036,13.632170023446259,14.38658752609468,8.719700680358795
CDH13,10.63017624134712,6.414820855551384,0.6960171730167621,2.21379820008607,1.7779335556650686,125.14023159355892,9.70276564960087
CDH5,39.041909832246446,8.402530972007783,1.0273208997818661,1.2627779322680384,0.39221397538881164,324.7681196390671,12.0105089487819
CFD,3252.6978396436316,3421.5509513602274,63.614370272642965,935.8122299862295,131.56802814356675,249.0343881926634,7607.537602223541
CGREF1,15.222634869414838,5.999425031825256,0.3874066970248159,0.7627850823702433,1.3981644145790337,1.2843935544041039,9.293118409945587
CHI3L1,134.00071543640104,49.40003634568793,2.7164358331631933,21.787561403101776,3.054728077551796,4.158226269187687,83.24529747348296
CHI3L2,22.024731802755106,14.963270644906858,11.347945379972682,3.7064995345158684,11.50910925374855,2.639391496451844,42.902723889702266
