symbol,baseMean,log2 Fold Change,lfcSE,pvalue,padj
SIGLEC7,350.9738866,-1.607703036,0.464356832,0.00053575,0.032515882
SLC38A1,3187.089619,-1.63480994,0.472462297,0.000539792,0.032522941
GAS7,12738.10368,1.399021247,0.404302416,0.000539506,0.032522941
GNGT2,102.2362434,-1.483446615,0.428984859,0.000544121,0.032665031
TMOD1,583.8254025,1.65143722,0.477993331,0.00055042,0.032923848
CHDH,137.5835778,-1.772858257,0.513290644,0.000552527,0.032931034
PIK3IP1,1704.008887,-1.160456216,0.336464742,0.000562733,0.033299716
SLC40A1,7317.969732,-1.191942725,0.345507879,0.000560944,0.033299716
ERP27,135.1132244,-1.738991114,0.504540635,0.000567516,0.033305215
TNFAIP8,1367.702191,-1.309952523,0.379943877,0.000565271,0.033305215
GPRIN3,906.0173068,-1.321415382,0.38346314,0.000568943,0.033305215
PKNOX2,1109.585534,1.579393329,0.458447427,0.000570866,0.033305215
MYO5A,19972.375,1.258144593,0.365636491,0.00057963,0.033697885
RASGEF1B,464.3733112,-1.133977427,0.329793276,0.000585056,0.033894398
MFAP3L,1693.630955,1.465380868,0.426413554,0.000589228,0.034017129
TDRD6,319.9650927,-1.334261188,0.388436709,0.00059266,0.034096486
DNM1P35,54.92158068,1.837973028,0.536122963,0.000607446,0.034196578
TMIGD2,22.82341518,-2.013928383,0.587869719,0.000612975,0.034196578
CYBA,2618.480991,-1.404091239,0.409740599,0.000610782,0.034196578
ADGRG5,170.0731185,-1.708756655,0.498010191,0.000600988,0.034196578
C1orf101,85.9645839,1.321953129,0.385855651,0.000612472,0.034196578
CNTNAP2,35.35977037,-1.970009987,0.574376544,0.000603975,0.034196578
PLAC8,698.126702,-1.901046192,0.554135261,0.000602129,0.034196578
SLC5A3,5749.659886,1.328330932,0.387723507,0.000612597,0.034196578
LOC653786,182.0116952,-1.856945188,0.541586415,0.000606447,0.034196578
PCED1B-AS1,251.79887,-1.582772157,0.462939532,0.000628608,0.034951005
MAP4K1,630.7139968,-1.406515521,0.411878056,0.000638093,0.03497954
ATG2B,2500.675645,0.670424511,0.196310167,0.000637519,0.03497954
HSH2D,408.3482919,-1.655529478,0.484680416,0.000636151,0.03497954
AKR1C3,826.8267798,-1.778014441,0.520498989,0.000635528,0.03497954
ADAMTS1,1703.188442,1.317027673,0.385749071,0.000639677,0.03497954
CLECL1,88.51554167,-1.555103219,0.456240986,0.00065318,0.035483753
HLA-DPA1,28953.59496,-1.46768783,0.430483262,0.000651069,0.035483753
MSL3P1,338.6051507,-1.074291209,0.315575085,0.000663501,0.035693317
NUB1,3759.653713,-0.614534839,0.180455297,0.000660506,0.035693317
SNX25,2430.171249,1.285168778,0.377440745,0.000661749,0.035693317
P2RY14,216.7037648,-1.410166876,0.414717992,0.000673112,0.036093176
LENG8,4964.464751,0.985091633,0.28982343,0.000676483,0.036156899
VCAM1,3244.355008,-1.569432675,0.462048838,0.000682083,0.036339036
C16orf54,330.6428598,-1.657338551,0.488089833,0.000684882,0.036371207
CCL24,69.93554313,-1.927393258,0.568731696,0.000701653,0.037142781
HM13-AS1,33.38683717,1.397702908,0.41312211,0.000716286,0.037796653
CD96,563.6101407,-1.554377559,0.45979487,0.000723306,0.037925498
H1FX-AS1,90.95287783,1.139175066,0.336933316,0.000722198,0.037925498
ANKS1A,4976.446958,1.15663124,0.342305295,0.000727642,0.038032491
ACSBG1,71.84220639,1.6037819,0.475088442,0.000736136,0.038162359
ITGAD,160.8456316,-1.71539705,0.508203946,0.000737056,0.038162359
RELB,639.941084,-1.067377436,0.316103,0.000733674,0.038162359
RCSD1,1435.214517,-1.417902403,0.420174083,0.00073934,0.038162359
PAOX,131.3451088,-1.072358016,0.317862858,0.000741786,0.038169744
GSTK1,5066.276657,-0.633501748,0.187886202,0.000746973,0.038317657
LUC7L,2152.393078,0.805361048,0.239004626,0.000752647,0.038489547
NAV1,4415.734263,1.071284094,0.318136335,0.000758876,0.038688683
CTTN,6497.704333,0.874330621,0.259839418,0.000765746,0.038919183
RPL10,75070.33749,-0.842533161,0.250584575,0.000773043,0.039169883
BBS5,389.0407926,0.907230207,0.270009444,0.000779441,0.039204083
STK32A,2096.345352,1.678709034,0.499681112,0.000780665,0.039204083
TRIB2,14344.9525,1.325064118,0.39442218,0.000780816,0.039204083
GSTA1,282.0654249,-2.025642004,0.603178427,0.000784291,0.039259593
LOC541473,14.94815146,1.464376112,0.43653851,0.000795035,0.039439924
PTPRS,2782.463879,0.909993819,0.271143566,0.000790406,0.039439924
ARHGAP25,1297.799123,-1.366454307,0.407327878,0.000794571,0.039439924
CD68,13126.37585,-1.347954919,0.402212395,0.000804183,0.03977465
SERPINF2,181.1674402,-1.623711777,0.484625582,0.000806816,0.039786103
